ID,Parent 1,Parent 2,Parent 3
521,284,0,0
522,664, 284,0
525,0,0,0
527,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,707,0,0
532,0,0,0
22,664,0,0
534,0,0,0
23,664,0,0
21,0,0,0
538,664,0,0
540,664,0,0
35,664,0,0
548,0,0,0
36,664,0,0
552,284, 664,0
565,693, 664,0
316,0,0,0
567,0,0,0
59,664,0,0
317,0,0,0
61,0,0,0
73,664,0,0
74,707,0,0
75,707,0,0
15,0,0,0
77,707,0,0
78,707,0,0
79,707,0,0
80,0,0,0
598,0,0,0
87,0,0,0
88,707,0,0
89,707,0,0
601,0,0,0
91,707,0,0
90,0,0,0
93,707,0,0
94,691, 664, 707
603,0,0,0
610,664,0,0
611,0,0,0
99,707,0,0
613,0,0,0
98,664,0,0
617,691,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,707,0,0
117,707,0,0
118,664,0,0
119,664,0,0
120,664,0,0
121,0,0,0
122,0,0,0
123,664,0,0
124,664,0,0
125,664,0,0
126,664,0,0
639,284,0,0
640,0,0,0
129,0,0,0
130,0,0,0
131,682,0,0
642,664,0,0
644,0,0,0
134,0,0,0
648,0,0,0
649,0,0,0
657,710,0,0
662,691, 664,0
664,0,0,0
665,664,0,0
667,691, 664,0
668,664,0,0
669,664,0,0
670,691,0,0
672,664,0,0
674,691,0,0
1187,0,0,0
1188,664,0,0
681,664,0,0
682,0,0,0
170,707,0,0
172,707,0,0
684,710,0,0
688,0,0,0
178,664,0,0
693,0,0,0
183,697,0,0
184,697, 693,0
185,697,0,0
697,0,0,0
189,0,0,0
190,682,0,0
191,0,0,0
704,664,0,0
193,0,0,0
706,664,0,0
707,0,0,0
194,664,0,0
199,0,0,0
200,664,0,0
201,664,0,0
202,284,0,0
203,664,0,0
208,664,0,0
209,703, 664,0
1236,0,0,0
212,664,0,0
216,0,0,0
732,664, 284,0
228,703, 707,0
749,691, 664,0
240,707, 703,0
241,0,0,0
754,703,0,0
242,0,0,0
755,703,0,0
757,693,0,0
759,0,0,0
248,703, 691,0
250,0,0,0
763,664,0,0
252,703,0,0
254,0,0,0
255,0,0,0
256,0,0,0
769,0,0,0
770,664,0,0
259,693, 710, 284
772,664,0,0
1284,707,0,0
1286,707,0,0
774,0,0,0
264,0,0,0
776,664, 691,0
266,284,0,0
778,0,0,0
268,0,0,0
269,284,0,0
257,664, 284,0
267,284,0,0
270,0,0,0
273,0,0,0
786,664,0,0
787,664,0,0
276,0,0,0
275,0,0,0
789,707, 664,0
279,0,0,0
280,703,0,0
281,0,0,0
788,664,0,0
283,0,0,0
284,0,0,0
285,284,0,0
798,693, 710, 284
287,284,0,0
799,691,0,0
288,284,0,0
290,284,0,0
805,664,0,0
294,0,0,0
295,284,0,0
807,693,0,0
1321,0,0,0
297,284,0,0
299,664, 284,0
300,284,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
1333,0,0,0
310,0,0,0
311,693,0,0
312,664, 693,0
824,0,0,0
822,664,0,0
823,664,0,0
1336,0,0,0
829,664,0,0
313,0,0,0
319,693,0,0
320,0,0,0
321,693, 710, 284
834,691,0,0
835,691,0,0
323,0,0,0
325,0,0,0
326,693,0,0
327,693,0,0
838,0,0,0
840,0,0,0
330,693,0,0
331,693,0,0
843,664,0,0
332,0,0,0
335,693,0,0
338,0,0,0
342,0,0,0
345,693,0,0
346,284, 693,0
347,0,0,0
862,284,0,0
863,284,0,0
352,693,0,0
350,0,0,0
354,703, 693,0
358,693, 710,0
359,0,0,0
361,0,0,0
362,691,0,0
363,0,0,0
364,691,0,0
367,691,0,0
369,0,0,0
377,664,0,0
378,0,0,0
379,0,0,0
384,0,0,0
385,664,0,0
388,0,0,0
908,664,0,0
909,664,0,0
399,0,0,0
400,664,0,0
401,664,0,0
913,664,0,0
915,664,0,0
916,693,0,0
404,664,0,0
918,0,0,0
405,664,0,0
917,0,0,0
407,664,0,0
922,664,0,0
406,664,0,0
924,0,0,0
415,664, 710,0
416,664,0,0
417,0,0,0
425,284, 693, 710
426,664,0,0
427,664,0,0
428,664,0,0
943,707,0,0
434,664,0,0
435,0,0,0
436,435,0,0
441,664,0,0
444,0,0,0
451,664, 710,0
457,664,0,0
459,664,0,0
470,0,0,0
471,664,0,0
476,703, 710,0
911,0,0,0
489,710,0,0
912,710,0,0
494,664, 693,0
497,664,0,0
502,664,0,0
506,710,0,0
507,710,0,0
1021,0,0,0
